conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,write Hungarian,released,correspond in written Hungarian | show competency in written Hungarian,Compose written texts in Hungarian.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,Hungarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/021c8a09-6b8d-4708-a5dd-17677e846640,knowledge,transversal,understand spoken Luxembourgish,released,understand Luxembourgish speech | interpret spoken Luxembourgish | comprehend spoken Luxembourgish | make sense of spoken Luxembourgish | listen to Luxembourgish,Comprehend orally expressed Luxembourgish.,http://data.europa.eu/esco/skill/7d16f1e4-1003-4f1f-9595-5cafb25a67df,Luxembourgish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,understand written Korean,released,read Korean | comprehend written Korean | make sense of written Korean | interpret written Korean | understand Korean writing,Read and comprehend written texts in Korean.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,skill/competence,transversal,understand spoken Hungarian,released,listen to Hungarian | comprehend spoken Hungarian | make sense of spoken Hungarian | understand Hungarian speech | interpret spoken Hungarian,Comprehend orally expressed Hungarian.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,Hungarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,skill/competence,transversal,understand spoken Welsh,released,understand Welsh speech | interpret spoken Welsh | make sense of spoken Welsh | comprehend spoken Welsh | listen to Welsh,Comprehend orally expressed ​Welsh.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,skill/competence,transversal,interact verbally in Bosnian,released,speak Bosnian | communicate verbally in Bosnian | verbally interact in Bosnian,Communicate orally in ​Bosnian.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,Bosnian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,skill/competence,transversal,understand written Latvian,released,make sense of written Latvian | comprehend written Latvian | understand Latvian writing | interpret written Latvian | read Latvian,Read and comprehend written texts in Latvian.,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,Latvian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,skill/competence,transversal,write Finnish,released,correspond in written Finnish | show competency in written Finnish,Compose written texts in Finnish.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,Finnish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,skill/competence,transversal,understand spoken Punjabi,released,comprehend spoken Panjabi | comprehend spoken Punjabi | interpret spoken Punjabi | listen to Punjabi | understand Punjabi speech | make sense of spoken Punjabi | listen to Panjabi,Comprehend orally expressed Punjabi.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Punjabi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,skill/competence,transversal,interact verbally in Occitan,released,speak Languedoc | communicate verbally in Occitan | speak Provençal | speak Occitan | verbally interact in Occitan,Communicate orally in ​Occitan.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,Occitan
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,skill/competence,transversal,interact verbally in Czech,released,communicate verbally in Czech | speak Czech | verbally interact in Czech,Communicate orally in Czech.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,Czech
